Name,Area: posneg_MZ25_36_25230101131_1.raw (F1),Area: posneg_MZ25_36_25230101131_2.raw (F2),Area: posneg_MZ25_36_25230104334_1.raw (F3),Area: posneg_MZ25_36_25230104334_2.raw (F4),Area: posneg_MZ25_36_25230977231_1.raw (F5),Area: posneg_MZ25_36_25230977231_2.raw (F6),Area: posneg_MZ25_36_25231053631_1.raw (F7),Area: posneg_MZ25_36_25231053631_2.raw (F8),Area: posneg_MZ25_36_25231493132_1.raw (F9),Area: posneg_MZ25_36_25231493132_2.raw (F10),Area: posneg_MZ25_36_25231779233_1.raw (F11),Area: posneg_MZ25_36_25231779233_2.raw (F12),Area: posneg_MZ25_36_25240047631_1.raw (F13),Area: posneg_MZ25_36_25240047631_2.raw (F14),Area: posneg_MZ25_36_25241550131_1.raw (F15),Area: posneg_MZ25_36_25241550131_2.raw (F16),Area: posneg_MZ25_36_25241552631_1.raw (F17),Area: posneg_MZ25_36_25241552631_2.raw (F18),Area: posneg_MZ25_36_25241554131_1.raw (F19),Area: posneg_MZ25_36_25241554131_2.raw (F20),Area: posneg_MZ25_36_25241560631_1.raw (F21),Area: posneg_MZ25_36_25241560631_2.raw (F22),Area: posneg_MZ25_36_25250093831_1.raw (F23),Area: posneg_MZ25_36_25250093831_2.raw (F24),Area: posneg_MZ25_36_25250108136_1.raw (F25),Area: posneg_MZ25_36_25250108136_2.raw (F26),Area: posneg_MZ25_36_25250975931_1.raw (F27),Area: posneg_MZ25_36_25250975931_2.raw (F28),Area: posneg_MZ25_36_25251285334_1.raw (F29),Area: posneg_MZ25_36_25251285334_2.raw (F30),Area: posneg_MZ25_36_25251386131_1.raw (F31),Area: posneg_MZ25_36_25251386131_2.raw (F32),Area: posneg_MZ25_36_25251400831_1.raw (F33),Area: posneg_MZ25_36_25251400831_2.raw (F34),Area: posneg_MZ25_36_25251700131_1.raw (F35),Area: posneg_MZ25_36_25251700131_2.raw (F36),Area: posneg_MZ25_36_25251906231_1.raw (F37),Area: posneg_MZ25_36_25251906231_2.raw (F38),Area: posneg_MZ25_36_25252083431_1.raw (F39),Area: posneg_MZ25_36_25252083431_2.raw (F40),Area: posneg_MZ25_36_25260053133_1.raw (F41),Area: posneg_MZ25_36_25260053133_2.raw (F42),Area: posneg_MZ25_36_25260285242_1.raw (F43),Area: posneg_MZ25_36_25260285242_2.raw (F44),Area: posneg_MZ25_36_25261136032_1.raw (F45),Area: posneg_MZ25_36_25261136032_2.raw (F46),Area: posneg_MZ25_36_25261211132_1.raw (F47),Area: posneg_MZ25_36_25261211132_2.raw (F48),Area: posneg_MZ25_36_25261284831_1.raw (F49),Area: posneg_MZ25_36_25261284831_2.raw (F50),Area: posneg_MZ25_36_25261810039_1.raw (F51),Area: posneg_MZ25_36_25261810039_2.raw (F52),Area: posneg_MZ25_36_25270020731_1.raw (F53),Area: posneg_MZ25_36_25270020731_2.raw (F54),Area: posneg_MZ25_36_25270595638_1.raw (F55),Area: posneg_MZ25_36_25270595638_2.raw (F56),Area: posneg_MZ25_36_25270693831_1.raw (F57),Area: posneg_MZ25_36_25270693831_2.raw (F58),Area: posneg_MZ25_36_25270803931_1.raw (F59),Area: posneg_MZ25_36_25270803931_2.raw (F60),Area: posneg_MZ25_36_25270968333_1.raw (F61),Area: posneg_MZ25_36_25270968333_2.raw (F62),Area: posneg_MZ25_36_25271191931_1.raw (F63),Area: posneg_MZ25_36_25271191931_2.raw (F64),Area: posneg_MZ25_36_25280384031_1.raw (F65),Area: posneg_MZ25_36_25280384031_2.raw (F66),Area: posneg_MZ25_36_25280538631_1.raw (F67),Area: posneg_MZ25_36_25280538631_2.raw (F68),Area: posneg_MZ25_36_25280599031_1.raw (F69),Area: posneg_MZ25_36_25280599031_2.raw (F70),Area: posneg_MZ25_36_25280740431_1.raw (F71),Area: posneg_MZ25_36_25280740431_2.raw (F72),Area: posneg_MZ25_36_25281070133_1.raw (F73),Area: posneg_MZ25_36_25281070133_2.raw (F74),Area: posneg_MZ25_36_25281097731_1.raw (F75),Area: posneg_MZ25_36_25281097731_2.raw (F76),Area: posneg_MZ25_36_25281885731_1.raw (F77),Area: posneg_MZ25_36_25281885731_2.raw (F78),Area: posneg_MZ25_36_25371469831_1.raw (F79),Area: posneg_MZ25_36_25371469831_2.raw (F80),Area: posneg_MZ25_36_25371523931_1.raw (F81),Area: posneg_MZ25_36_25371523931_2.raw (F82),Area: posneg_MZ25_36_25371729131_1.raw (F83),Area: posneg_MZ25_36_25371729131_2.raw (F84),Area: posneg_MZ25_36_25371767632_1.raw (F85),Area: posneg_MZ25_36_25371767632_2.raw (F86),Area: posneg_MZ25_36_25380127633_1.raw (F87),Area: posneg_MZ25_36_25380127633_2.raw (F88),Area: posneg_MZ25_36_blanco_1.raw (F89),Area: posneg_MZ25_36_blanco_2.raw (F90),Area: posneg_MZ25_36_expQC_1.raw (F91),Area: posneg_MZ25_36_expQC_2.raw (F92),Area: posneg_MZ25_36_expQC_3.raw (F93),Area: posneg_MZ25_36_expQC_4.raw (F94),Area: posneg_MZ25_36_expQC_5.raw (F95),Area: posneg_MZ25_36_expQC_6.raw (F96),Area: posneg_MZ25_36_expQC_7.raw (F97),Area: posneg_MZ25_36_expQC_8.raw (F98),Area: posneg_MZ25_36_expQC_9.raw (F99)
Propionylcarnitine.HMDB0000824,33065436.6441355,33096663.2721439,17815846.3993605,18220752.9704215,59652473.859809,57979059.9247637,9430936.96772467,9411481.78610528,6786737.44155688,7454259.29421464,15136870.0441979,15174090.8885029,9709224.67834133,9282752.18980027,18487823.2087111,17071031.2767522,27692326.8852572,29132727.8296737,46679908.046332,45407521.3490515,10161482.9364218,10814567.9818477,17981312.0241523,17269686.5847942,16889624.0811763,18341459.1880316,20480887.1669534,19329846.3946461,23722877.4004751,22572108.1445375,13843530.6545407,14387111.9680083,16307208.0424596,16212766.3738344,17541521.2719919,17108855.6243784,21597454.3433216,21325574.4028491,9043802.5853148,8524217.15699358,15521151.8708793,15077291.4930894,9439633.29211439,9201748.29576417,13287990.9443039,12360367.4417801,21299439.394466,20718225.2084515,10149616.6052453,10736309.367824,5248510.89570391,4911112.01596308,16305254.9282946,16541103.6616347,1232683717.92788,1267950770.99722,40819792.982526,40369108.596172,24726658.4389601,23310481.8034304,17219775.9252115,17152362.8543252,13811860.3278874,13340228.7223725,44623200.9740134,43012320.926505,12585771.4940237,13360680.4764636,18617064.3607596,18337825.3516569,14935487.8893175,14285765.6706603,14831461.0857994,15262638.7436695,14010074.2926229,14665491.1691385,45215708.9702039,42928023.8286468,22611357.6936638,22134779.1279044,18662429.8291486,18639982.2548441,15734801.2791884,16106334.5678085,28596121.4888963,29279764.9488702,17114524.2795321,17344021.6643467,420261.710168817,135129.107004993,65152632.8448839,61434050.148267,64606682.5547799,65992690.1535735,64114077.4586672,63997534.993064,64374639.6393088,64298627.4234064,62576216.8009007
L-Phenylalanine.HMDB0000159,1062126645.29123,1088531026.45575,673701101.023685,647943133.263364,582234438.998879,567091189.419246,733652872.218411,745625959.489518,1106128180.03834,1128527436.06153,806532500.451075,803490671.24898,916078128.07171,892362313.713485,898294522.506296,861788135.023533,961178787.283718,1041320866.61859,714324611.624933,721640937.3005,992547950.254608,1129936557.10228,727421693.819131,683838381.014059,732511543.45632,815662654.479897,768538292.749152,750294904.630071,599467148.813554,567930744.471992,1103436258.5541,1125105374.64207,857161338.523469,868029390.125013,826745325.816679,829307910.3723,781904824.249678,731172264.310098,742653899.781828,701079545.153306,1101624342.74952,1074728868.82333,7573210010.4121,7428960774.83406,829769403.510497,802638493.043376,816591881.949184,715670514.092482,883541436.196283,937647891.012777,611577748.851842,597208804.839024,635811958.997837,666831723.085165,915818711.899416,925704361.036852,950383175.346708,917628959.961693,608506465.242602,548761747.53897,798722884.493373,776259664.175975,779346869.238082,769375782.40176,860844897.783756,859751214.603643,917215202.088262,936090783.316507,1374948639.66233,1390157447.94311,749835184.713621,715700677.28966,646627900.63723,626934219.168806,828437975.232118,890541460.660863,764242029.881842,717798622.721096,682671056.945745,682772304.47678,1109997901.22384,1111317191.84753,867164002.631993,871347714.513581,415137046.789564,415451169.219591,645282856.056589,661938876.711439,1442474.80361111,2624315.65116919,1040067321.35188,1030057300.64576,1055625464.32575,1048911520.00052,1064851820.19396,1061154833.61074,1060686809.086,1106946881.77282,1090021398.54943
Creatinine.HMDB0000562,151105420.033015,155430769.769246,141017581.925194,141612273.785913,97162059.6354541,97126348.2637075,182116702.116927,174719286.875169,150132998.161137,160015305.458335,157653818.893955,154139427.352901,165535802.643308,155521896.468975,267658561.477849,247977621.018616,143271936.007631,153096667.370911,86967289.4352472,88276217.7700559,106622639.504772,120886518.439774,152500767.664704,137084123.892838,221966682.19675,239104422.389286,129989019.79487,129296751.79523,96179490.1986431,94072993.2339862,127481283.427705,128865671.317269,293838169.680658,293077224.39134,128188457.977931,124930763.363467,124244498.051629,126647839.593278,300262393.583102,279488389.883288,174807592.831541,180658250.909658,253964154.367593,234722893.603214,408822428.002036,390614429.145588,263746089.24838,251554449.099549,194515311.594074,201385058.369004,134406344.559155,130617737.113906,93479929.3266674,98775117.6443923,439521394.312944,421632823.009907,772977920.266971,744659894.336463,68744067.0892511,64666395.8474428,206394120.172393,204413908.141221,238895840.803561,249012692.289411,108375976.735391,109469730.239054,132019052.304493,132771500.710499,96433389.6847506,93697099.2046763,186608462.076363,169688442.342864,416849546.251005,397758293.342421,368307074.155256,372118497.793471,155477873.108632,146037152.802594,128702012.02951,134957942.76368,109608568.386217,105423948.380718,129466269.36049,129179930.02118,198058643.718139,205114808.920509,207333832.040067,208500266.315987,148549.84080424,831341.969196977,178083197.990635,184854480.313562,190634102.946753,192696413.028533,189137461.825981,193562782.391084,195982163.19625,200165720.632407,194739345.263667
(S)-2-methylbutanal,8102171117.15896,4991270848.62472,4793592796.20999,4896495535.10264,351944593.44018,6615833472.37857,4680603393.91794,4991464345.92854,4869536784.45954,1378570761.83903,6382083247.7909,4977854890.37458,4991220671.75695,4924746115.03396,4795752977.03849,4928004927.53683,4753909983.32792,5811549662.38233,5088702147.81638,4939515942.13666,4852075624.15055,5107010085.6403,5030025817.07293,4920894641.18919,5143057318.3618,5220256947.45201,4035703573.77771,4971636621.55372,5041021134.49513,4774237606.54187,5068297625.02719,5097857657.06402,4931009729.45165,4843658438.52789,5120714662.24494,5089108403.93348,4464159990.39075,1397168561.19925,4896148136.41238,4839337218.10064,4774299834.38539,4942733166.10022,4895451633.61026,4943710746.02083,3337903999.10873,1469192703.3243,999412901.405158,4898152124.75777,4900630448.4278,5177633428.52876,994892587.944484,5092139447.51499,4386385348.35928,5157622479.49314,4942123526.18518,4805746911.38579,1359668314.25639,1099519471.63961,4550988617.16915,375415345.826525,4782924273.63921,4882931288.99071,4818091378.88817,4785792162.48904,4618969034.2803,4863753512.02054,7202834082.8455,4925665573.755,4932341462.5259,739736648.572944,5130895894.73443,1196284241.54779,4954615995.33276,4828033816.53001,6723530454.31318,5071737604.33198,5053186298.29067,4892781884.03375,5016960687.76781,5033232049.38244,4942412291.65608,4846390922.02533,2430777100.67534,4952657630.14208,764262714.361271,4843823807.57336,1536826458.76343,5056221872.54205,5084108252.92723,5157704429.10482,4927383375.96496,4799922591.60026,4937999382.17999,2127994377.5353,1449365929.87981,4952830546.30055,5009183989.13781,3971208894.93969,5003807320.51422
p-Cresylsulfate,186754601.138049,194975889.815486,510276452.937454,525768380.806555,5720791.48380543,5710542.31342056,35659073.2299704,34556150.226463,155809552.440942,180300777.762483,76346119.1968432,75390651.1659962,23892191.5356733,22960677.0136886,212447345.477694,225671827.402052,59691150.92987,61344438.4728816,7320541.29223404,7728573.42911787,1775377.65794109,1827575.59286478,45028925.2581001,43820186.6884839,262885389.073227,274902589.527686,90152214.6633417,93463036.134334,321692397.642907,311053155.01006,7457348.81907678,7151688.56738277,99847661.3802287,102283054.886127,289071598.025518,295787260.324288,251200998.607636,252463544.839946,9751084.54418032,8133481.95701399,311376117.600614,309633726.602697,154112953.450958,136357865.984464,724094050.236256,726974820.768163,858370737.21802,725756464.160417,214586800.153169,234199235.23028,83412807.8828724,75263191.840654,88311822.50857,93709428.4609054,74498452.9219565,73332365.5203752,3446712645.83608,3153654284.83512,13336738.954441,13077161.4948355,789642468.481446,676503504.833401,285731989.414807,294088179.226148,48126539.5418444,48857404.0181222,388324949.037966,382041952.944265,365779939.327387,347331085.330996,157490626.559619,166484474.846808,121841530.905444,108903275.020619,348357712.770172,358419162.468853,12130273.748063,11547554.704535,373394420.590682,370353062.405358,404534252.064154,429447149.824604,3448038.00233155,3644477.54962365,65909999.517109,63565445.9874841,92410634.889621,92410198.2866675,22122.0513521507,18640.710985196,192459073.323991,225627762.120687,236661675.511709,237388958.082982,234661440.668205,242557352.877435,261984837.133459,254600198.113178,258150222.846127
"2-[[5-(1,3-Benzodioxol-5-ylmethyl)-4-cyclohexyl-4H-1,2,4-triazol-3-yl]thio]-N-(1,1-dimethylethyl)acetamide",156701.360603626,155317.439218379,659745.618303727,450784.380043117,2297136.57693292,2357566.45284432,189408202.44308,194226029.391992,188095.795863425,462951.842852701,170446.510253527,158927.277490251,5037680.4992851,4633871.07874458,344822.337563264,271405.789042282,174918.975969632,3029181.53889408,745051.003098523,295638.954025188,459482.986632311,1631270.91023878,421977.475875826,172617.694380016,128151.04007814,173877.736353742,363997.333845628,540380.157412048,444998.946031584,1589827.39840893,204208.720766904,155997.41434883,203092.587960895,181658.954390705,312360.034754581,279662.923886808,320722.352861206,398667.888831308,533301270.068931,512839465.11025,2243238.75447241,1000389.0615101,213253.064963765,72781.3803033964,20198.8937371465,1230796.9096076,37582.2206968185,32303.2635624777,137331.109635499,159789.955360321,376447.74124574,395959.044885118,1577035.90553768,1497217.85759829,77772.0831492995,114689.181448175,68522.1120812223,183526.864439133,391249.782834979,342233.15012744,57987.3853534949,68401.0806637883,47367.4401587225,54014.9209708039,1432249.51645205,1473607.08176829,3310225.48924145,3315279.02866409,635053.473354161,131596.45564385,139033.926820801,146803.574293589,43235.1298932086,51408.2348128256,54912.2858609675,32747.7237253146,9252545.49365269,7195177.01586535,366431.544068411,641519.372556123,311546.86618548,216493.700283129,179171773.835462,176739643.595956,5428736.60661538,8346060.46390016,538363.774399671,565893.744802007,107835.226450287,10933.020012876,11127805.3668924,12257787.5413493,11936698.2168355,11895142.8672639,11428730.8126168,11657558.1587444,12246818.0058443,139228.615694043,201332.088050339
"2-[[5-(1,3-Benzodioxol-5-ylmethyl)-4-cyclohexyl-4H-1,2,4-triazol-3-yl]thio]-N-(1,1-dimethylethyl)acetamide",26456.1548010372,154470.827653464,645419.680364834,448560.9189571,2261598.93527913,2314541.64306459,185313356.292356,190036629.671746,188095.795863425,439542.007260841,169011.076986323,158469.486466323,4932730.47916067,4493978.15867445,331446.155964619,270609.63556819,174913.176710053,2856259.08118504,708684.818700135,294616.916673336,455704.636406463,1574593.75400074,401740.058161441,172617.694380016,37727.3414294267,173763.287532847,362346.308984034,529118.393286158,441727.946784561,1519878.67768749,203869.006331704,155997.41434883,197375.860400451,181522.603033367,309660.231689772,279662.923886808,320371.854057594,391323.234389306,533301270.068931,512839465.11025,2155349.20031815,963650.118346173,211684.845481848,72781.3803033964,20198.8937371465,1193357.83602143,35054.814115836,23492.1694633886,25296.0842279581,58368.4503507876,374163.735672248,391961.266342319,1541409.56222723,1463860.05456511,77772.0831492995,21771.1269065752,104724.818101165,99028.8575849078,383507.581030894,337141.445569814,80841.0774155225,34071.6995298972,47367.4401587225,54014.9209708039,1388318.04343858,1405261.97385136,3273963.28970224,3273339.01174338,621266.715391238,31171.2238838686,139033.926820801,145441.279116064,39485.0101668013,51948.2258900856,54912.2858609675,32747.7237253146,8806810.41910312,6958522.62938176,360639.736864325,608098.533330802,307256.490167605,213407.910680739,174509728.366978,172487300.61598,5288451.61063669,7916263.79061111,524376.614542223,552020.850624586,107835.226450287,17525.8360196222,10851473.3834129,11888827.0221303,11611328.3011005,11540603.2274992,11096955.6652338,11271234.9742377,11813797.5978245,131955.955073644,201332.088050339
Taurochenodeoxycholic acid,16102653.0208764,16265557.3534866,2168151.87554193,2329952.26019773,52538295.2617594,22115773.8408519,37597402.6497101,15158967.9745843,701211.80707852,1246911.94424956,300314.301595969,173160.536455269,842450.391576546,501177.901940415,3997906.05041909,2660282.38246102,6100129.19794976,2998988.48836238,10239489.0130134,12456770.8928828,12907298.1376128,23157917.5658218,862101.374256605,612834.324752772,906178.267923646,1032382.58011739,9602800.65840512,9142970.2965954,4311916.08252115,3858768.30973254,10066490.669873,10454766.3326279,2209492.56602883,2246437.71990248,47782164.5281794,53183412.4752656,360345.010894212,381575.744492467,150557929.663367,66706516.4286887,1693047.4809788,2139808.95547995,2323669.30896227,2493963.06721465,291632.745842962,396984.449978721,5907303.13467761,5804186.40168052,2180286.35041218,2096931.09864412,4017709.42054455,3882475.41779311,23963635.6292771,21921214.6731219,25721114.2325045,44322194.8859287,4157343.7916953,6769169.61529837,9539632.67114914,8998738.91074716,873697.656620052,958548.146652368,496320.116419375,527453.93734592,62667888.8445787,23586634.9960737,1312998.50351134,1418404.77105631,1955923.51837511,3721941.65944927,136303.681250381,147354.204298104,185262.369320955,119777.212675898,287788.497678932,170109.688376914,1319575.66996726,675744.422384375,17339564.6938614,10479799.1929771,7631152.33444753,3170130.18180894,60795447.1656601,55155756.9602689,3377659.83967859,3863572.93431752,1864294.90323537,1873883.42777081,125266.788096811,149364.314537057,4373215.5835766,4460279.27657122,3968999.03204439,8599196.90016336,8389730.0706454,7638668.27569117,7224968.68092262,8511130.52990153,8219213.93531281
Sulfamethoxazole.HMDB0015150,19150.8006069476,20662.6013232612,18012.418090701,18784.7099400092,20545.6652841658,19493.9016528321,19520.745645534,18240.6783661893,23134.6424395141,24319.0990440856,18846.8518106285,18824.0082218751,18423.3366994646,18095.5073875384,20576.7376146709,22502.5890140614,21190.9061659325,21993.2961589909,21824.6539097493,22318.2490119264,19054.6986576073,20762.2392723124,20367.6672935442,21417.5038008469,21581.0313287825,21286.0397641862,18936.7866015446,20624.1474308437,20684.05484986,20424.4388771356,19182.9754766634,18322.8306375539,19495.5772020889,18381.7096961138,18426.337648811,18849.1519281303,19559.3037018194,18248.502344664,21083.1875814424,18708.7642441552,18806.5207790316,22277.0136575453,20025.5078917015,18109.7167813766,17833.9961018316,18218.1779423908,18403.9384510684,17682.170149069,20227.3843716811,18977.0703338785,18891.144926452,18641.7410941717,21390.9607179409,20977.340916545,20830.1434845522,18525.6656129401,20467.2565748453,19419.4942194595,20828.303039368,24404.2159047994,19645.4939192746,17959.4595484302,18042.7439161398,18418.6913664857,20002.0384570967,19897.6711759705,20179.0331610025,19274.9461657412,21298.4893717358,22148.1523498342,20526.1666765869,22917.5500080324,22688.3138615093,21108.2016476575,19925.0728729536,18657.0140121766,20588.6518616065,22002.5906840075,19672.6011277061,19644.2758253252,18210.1292948261,18068.2447218464,17770.8274349538,19570.0395786139,24391.8319296206,24796.2726551141,18905.3302869711,22208.7051215648,20094.3779342631,13969.345196936,3820583.39092891,3824485.3534221,3987553.74996715,4190621.73326166,4401281.99772318,4643986.33812443,4668081.48978589,4807997.26197683,4679437.92924467
Cycloheximide,19455.4520726396,18667.2773900012,21608.4423746638,18844.0258258864,16468.9452000358,16437.9322715973,15339.6332515529,14834.2647435582,53955.5410814313,91635.0055051122,15436.1966328773,16437.158977882,18285.7915641797,18933.6995307215,19538.2183090207,20348.820961854,36303.0182791101,29572.4966839591,16115.6681553434,16050.6987784545,18231.6373863715,25905.3817168824,14315.369445516,16558.3931180389,17175.8598899709,19360.6432144574,23826.6738164166,16379.2328856484,18453.1398568711,17150.0603141467,43517.11439152,46819.9540757052,15678.1489306085,14941.9199388289,125355.333224134,143752.734905757,18286.3682921567,18623.5143331285,23990.2234812737,28172.0829551251,178913827.883317,175533162.3594,21155.6479987075,17537.3789117062,20959.4805103899,22134.8154878548,18658.4032756339,20097.2027768685,16230.2700247824,16911.9930575474,20898.1254908208,17940.8969216536,17295.0994854705,15201.2817227116,16242.8390068646,15539.1642888729,43835.3309667158,43499.4893016259,16764.9078413368,15731.9455694006,21825.9626732659,22429.0561731709,15837.237797986,16162.8302481012,28430.3041508922,21952.3364100581,24687.0415060636,26283.8427634751,17386.1065780151,16289.503090828,21158.1085654506,16058.9689652779,17143.2947687839,16736.7444639657,18738.4954963166,17842.675870115,15249.0195882375,15883.050686362,18636.5124925626,20510.0896453623,47504.194766698,66297.7234595925,14112.8063515065,15511.4482262815,75168.5590872535,18737.8338445117,30319.3719277038,28560.2086911035,14411.4083765355,14533.0229275712,4508229.3468498,4266702.20588368,4246974.77036976,4172361.16281269,4284883.99147744,4228977.53810201,4256751.41880894,4240754.60485815,4147538.9050908
